16.938079 52.408508 16.937325 52.404397 0 no2_emis 0 20000
  16.9384150  52.4067030  22.0  2.6809385324708269e-08     0 20000
  16.9365889  52.4070210  11.5  2.8154494824961949e-08     0 20000
  16.9339449  52.4079629  11.5  2.8948366596905124e-09     0 20000
  16.9333830  52.4086080   9.0  9.7652937255834606e-08     0 20000
  16.9346779  52.4079674  13.0  1.6537131789066462e-08     0 20000
  16.9344340  52.4077846  10.0  3.0708302061136479e-08     0 20000
  16.9327855  52.4078012  10.0  1.4988522761288685e-08     0 20000
  16.9405223  52.4086484  10.0  4.7447815249238968e-08     0 20000
  16.9339770  52.4098929  13.0  1.1296959368658041e-07     0 20000
  16.9410180  52.4032250  19.0  2.7436655840943682e-08     0 20000
  16.9371200  52.4045689  17.5  4.4730572901002026e-06     0 20000
  16.9376270  52.4047130  16.0  1.1927872261234780e-05     0 20000
  16.9376480  52.4048850  10.0  1.1554564650469303e-05     0 20000
  16.9371550  52.4048460  14.5  2.6089682788264208e-05     0 20000
  16.9371500  52.4050120  13.0  6.4439747684141933e-05     0 20000
  16.9372200  52.4051679  16.0  6.7105398610698887e-06     0 20000
  16.9377569  52.4053989  13.0  5.2185247404394979e-06     0 20000
  16.9373838  52.4054389  11.5  2.9818577554635972e-06     0 20000
  16.9378280  52.4057690  16.0  1.9606092719431762e-10     0 20000
  16.9375148  52.4059948  10.0  6.7088111677352869e-06     0 20000
  16.9378840  52.4061389  16.0  3.7273525401858194e-06     0 20000
  16.9374070  52.4061550  16.0  1.1110119292237443e-09     0 20000
  16.9379210  52.4062840  16.0  3.3547148820459158e-06     0 20000
  16.9374300  52.4062599   5.0  2.2365199392789192e-06     0 20000
  16.9379590  52.4064190  16.0  4.1000361569063922e-06     0 20000
  16.9380040  52.4067079  10.0  6.0881012810755960e-10     0 20000
  16.9375459  52.4067260  17.5  2.6141457064941652e-10     0 20000
  16.9380530  52.4069239  17.5  1.1181292623541349e-06     0 20000
  16.9375686  52.4068947  17.5  0.0000000000000000e+00     0 20000
  16.9380956  52.4073638  16.0  7.1889007166412991e-10     0 20000
  16.9381283  52.4075436  21.0  6.5353642820903095e-10     0 20000
